CustomerID,FirstName,LastName,Email,Phone,City,State,SignupDate
2824,James,Wilson,james.wilson@gmail.com,206-555-5506,Seattle,WA,2022-05-17
4657,Maria,Chen,maria.chen@outlook.com,206-555-2679,Seattle,WA,2024-10-17
9935,Sarah,Johnson,sarah.johnson@gmail.com,206-555-7912,Seattle,WA,2021-03-07
1488,Michael,Brown,michael.brown@gmail.com,206-555-4582,Seattle,WA,2022-04-22
9279,Emma,Davis,emma.davis@hotmail.com,206-555-1434,Seattle,WA,2024-02-24
4257,David,Garcia,david.garcia@techcorp.com,206-555-9928,Seattle,WA,2023-05-10
4611,Sophie,Martinez,sophie.martinez@icloud.com,206-555-5557,Seattle,WA,2021-01-14
3615,Ryan,Lee,ryan.lee@techcorp.com,206-555-7924,Seattle,WA,2022-11-28
5552,Olivia,Taylor,olivia.taylor@outlook.com,206-555-4527,Seattle,WA,2022-11-21
2674,Ethan,Anderson,ethan.anderson@gmail.com,206-555-7224,Seattle,WA,2021-07-18
6881,Ava,Thomas,ava.thomas@company.com,206-555-6635,Seattle,WA,2024-05-21
5333,Noah,Jackson,noah.jackson@company.com,206-555-1711,Seattle,WA,2023-07-30
9785,Mia,White,mia.white@gmail.com,206-555-7201,Seattle,WA,2021-06-11
5803,Liam,Harris,liam.harris@company.com,206-555-6925,Seattle,WA,2024-03-28
4150,Isabella,Martin,isabella.martin@techcorp.com,206-555-2139,Seattle,WA,2021-04-04
4733,Mason,Thompson,mason.thompson@company.com,206-555-5741,Seattle,WA,2021-06-13
4814,Charlotte,Moore,charlotte.moore@company.com,206-555-2654,Seattle,WA,2023-02-18
5554,Logan,Allen,logan.allen@icloud.com,206-555-6977,Seattle,WA,2021-11-30
7065,Amelia,Walker,amelia.walker@yahoo.com,206-555-4432,Seattle,WA,2024-10-04
5374,Lucas,Young,lucas.young@techcorp.com,206-555-2169,Seattle,WA,2024-06-01
3803,Emily,Hernandez,emily.hernandez@hotmail.com,206-555-5010,Seattle,WA,2021-12-01
8573,Aiden,King,aiden.king@icloud.com,206-555-5422,Seattle,WA,2024-08-03
4598,Abigail,Wright,abigail.wright@techcorp.com,206-555-6313,Seattle,WA,2021-04-25
4752,Jackson,Lopez,jackson.lopez@company.com,206-555-1525,Seattle,WA,2022-10-09
7572,Madison,Hill,madison.hill@yahoo.com,206-555-2084,Seattle,WA,2022-03-09
6155,Caleb,Scott,caleb.scott@outlook.com,206-555-9179,Seattle,WA,2023-03-22
8517,Chloe,Green,chloe.green@outlook.com,206-555-5339,Seattle,WA,2021-10-13
5040,Jayden,Adams,jayden.adams@techcorp.com,206-555-9830,Seattle,WA,2022-06-23
8019,Ella,Baker,ella.baker@hotmail.com,206-555-7543,Seattle,WA,2023-01-12
4593,Grayson,Nelson,grayson.nelson@outlook.com,206-555-9348,Seattle,WA,2023-10-08
2489,Taylor,Carter,taylor.carter@company.com,206-555-1771,Seattle,WA,2021-08-13
3504,Jordan,Mitchell,jordan.mitchell@techcorp.com,206-555-3621,Seattle,WA,2024-10-25
7916,Morgan,Perez,morgan.perez@hotmail.com,206-555-2040,Seattle,WA,2023-02-28
7252,Casey,Roberts,casey.roberts@hotmail.com,206-555-8668,Seattle,WA,2023-12-20
5119,Riley,Turner,riley.turner@hotmail.com,206-555-1188,Seattle,WA,2024-10-25
2876,Avery,Phillips,avery.phillips@techcorp.com,206-555-9797,Seattle,WA,2022-07-01
6573,Quinn,Campbell,quinn.campbell@gmail.com,206-555-5808,Seattle,WA,2023-06-10
3591,Blake,Parker,blake.parker@icloud.com,206-555-1053,Seattle,WA,2022-06-24
9201,Dakota,Evans,dakota.evans@company.com,206-555-3927,Seattle,WA,2023-11-06
2743,Skyler,Edwards,skyler.edwards@company.com,206-555-5889,Seattle,WA,2024-08-01
9317,Alex,Collins,alex.collins@hotmail.com,206-555-4258,Seattle,WA,2021-11-10
7126,Sam,Stewart,sam.stewart@company.com,206-555-3646,Seattle,WA,2024-01-10
9689,Charlie,Morris,charlie.morris@gmail.com,206-555-6310,Seattle,WA,2023-09-28
1319,Reese,Rogers,reese.rogers@gmail.com,206-555-6947,Seattle,WA,2022-09-22
4923,Peyton,Reed,peyton.reed@gmail.com,206-555-4946,Seattle,WA,2024-03-07
2290,Cameron,Cook,cameron.cook@gmail.com,206-555-8962,Seattle,WA,2021-05-22
9727,Hayden,Morgan,hayden.morgan@company.com,206-555-3060,Seattle,WA,2021-09-20
8787,Jamie,Bell,jamie.bell@hotmail.com,206-555-3705,Seattle,WA,2022-06-27
